MeetID,Name,Gender,Equipment,Uses Equipment,Division,Bodyweight (Kg),WeightClass (Kg),BestSquat (Kg),BestBench (Kg),BestDeadlift (Kg),Total (Kg),Place,Wilks
7271,David Ricks,M,Raw,N,MR-O,91.89,C93,325,195,282.5,802.5,3,507.04
7028,David Woo,M,Raw,N,R-O,100.76,C105,275,162.5,275,712.5,35,432.32
1064,Debbie Gullage,F,Raw,N,Open,76.5,C84,,60,,60,1,56.35
1211,Denis Cyr,M,Raw,N,Master 3,91.9,C93,,120,,120,1,75.82
84,Denis Dumitru,M,Raw,N,M_JR_APF,76.9,C82.5,182.5,122.5,227.5,532.5,1,373.01
5062,Denise Demkowicz,F,Raw,N,Amateur Master 50-54,79.83,C82.5,111.13,54.43,129.27,294.84,1,270.1
6820,Denise Stirling,F,Raw,N,R-O,61.4,C63,85,32.5,125,242.5,10,265.59
1180,Derek Groat,M,Raw,N,Junior,58.1,C59,120,82.5,165,367.5,1,322.93
1509,Derrie Sutton,M,Raw,N,M-O,103.4,C105,225,150,270,645,2,387.55
7303,Dillon Ofoia,M,Raw,N,R-O,102.7,C105,,195,,195,1,117.46
1299,Dirk Lauber,M,Raw,N,M3,133.45,C140,,172.5,,172.5,3,97.12
6858,Douglas Neou,M,Raw,N,R-O,71.6,C74,182.5,112.5,215,510,5,375.74
7021,Douglas Staller,M,Raw,N,R-M2,100.7,C105,140,95,165,400,10,242.76
7246,Edgar Martinez,M,Raw,N,R-JR,81.7,C83,165,100,210,475,8,320.08
1131,Edvins Ozolins,M,Raw,N,Master 3,104.4,C105,110,132.5,195,437.5,1,261.96
7958,Edwin Torres,M,Raw,N,Submaster 35-39,81.5,C82.5,,142.5,,142.5,1,96.169
7301,Elijah Hassertt,M,Raw,N,R-JR,92,C93,167.5,110,232.5,510,2,322.04
3215,Elisabeth Lønning,F,Raw,N,Open,69,C72,,75,,75,1,75.36
4923,Eliza Reed,F,Raw,N,Amateur Junior 20-23,116.12,C90+,120.2,61.23,174.63,356.07,1,286.44
6683,Emily House,F,Raw,N,R-O,68.4,C72,125,95,177.5,397.5,2,401.89
15,Emma Nylund,F,Raw,N,RT 12-13,39.92,C40,67.5,27.5,76.5,171.5,1,256.44
7665,Eric Abenoja,M,Raw,N,Open,91.44,C100,,170,,170,1,107.666
1621,Eric Termuhlon,M,Raw,N,m4,87.59,C90,,105,147.5,252.5,1,163.5
7173,Erica Isaacs,F,Raw,N,R-O,62.4,C63,120,65,140,325,7,351.58
7721,Erin Gensler,F,Raw,N,Open,70.22,C75,102.5,77.5,165,345,1,342.48
7020,Eva Hambrick,F,Raw,N,R-JR,71.4,C72,130,85,127.5,342.5,1,336.17
7088,Evan Byrne,M,Raw,N,R-O,74.1,C75,177.5,112.5,182.5,472.5,7,339.55
1109,François Cazes,M,Raw,N,Master 1,75.8,C83,150,100,210,460,1,325.38
8383,Francisco Pardorla,M,Raw,N,Open,55.2,C56,137.5,102.5,165,405,2,373.95
2922,Fridtjov Olsen,M,Raw,N,Master +70,83.7,C93,,62.5,,62.5,1,41.51
8009,Gabriel Rivera,M,Raw,N,Open,81.4,C82.5,,,187.5,187.5,1,126.633
7789,Gary Panttila,M,Raw,N,Open Men,108.27,C110,,180,,180,1,106.456
1285,George McLaren,M,Raw,N,M-OR,183.3,C140+,365,227.5,360,952.5,1,511.15
1163,Gerald Chafe,M,Raw,N,Master 2,73.7,C74,157.5,87.5,177.5,422.5,4,304.79
6570,Gina Aversa,F,Raw,N,R-JR,78.4,C84,145,67.5,175,387.5,1,358.66
919,Guillaume Lamoureux,M,Raw,N,Open,86.1,C93,180,130,200,510,2,333.34
7364,Gunnar Denhart,M,Raw,N,R-JR,80.8,C83,195,142.5,227.5,565,2,383.33
6918,Hattie Jenkins,F,Raw,N,R-T1,91.7,C84+,82.5,42.5,110,235,1,201.53
7085,Ian Emmons,M,Raw,N,R-O,89.7,C90,,150,250,400,2,255.79
128,Ivan Andrusyak,M,Raw,N,Open,75,C75,140,125,170,435,4,309.96
1430,Jackie Blasbery,F,Raw,N,,77.55,C84,135,80,160,375,5,349.31
4756,Jackson Dahlenburg,M,Raw,N,,89.05,C93,187.5,112.5,220,520,4,333.78
5371,Jacob Byrd,M,Raw,N,Police/Fire,123.38,C125,,,226.8,226.8,1,129.59
7397,Jaeyoon Cho,M,Raw,N,M-RO,72.7,C75,112.5,72.5,110,295,1,214.908
8232,James Fernandez,M,Raw,N,Master 50-54,66.15,C67.5,,125,,125,1,97.97
8430,James Grant #3,M,Raw,N,Master 45-49,104.1,C110,185,145,227.5,557.5,1,334.16
7820,Jan Finney,F,Raw,N,Open,66.95,C67.5,110,85,147.5,342.5,1,351.624
7376,Jason Barthel,M,Raw,N,R-O,116.9,C120,,,285,285,1,164.9
7826,Jason Domingo,M,Raw,N,Open,98.7,C100,,175,300,475,1,290.617
7795,Jason Smith,M,Raw,N,Master 40+,89.77,C90,,,278,278,1,177.71
8158,Jason Welch,M,Raw,N,Open,81,C82.5,200,115,215,530,2,359.04
4619,Jay Hansen,M,Raw,N,,78.7,C83,170,100,190,460,1,317.35
8139,Jaymee Mansanas,F,Raw,N,Open,79.8,C82.5,132.5,65,147.5,345,1,316.12
7958,Jean-Luc Baden,M,Raw,N,Open,104.5,C110,285,197.5,290,772.5,1,462.389
5170,Jeff LaBrake,M,Raw,N,Military Amateur Open,113.94,C125,215.46,156.49,288.03,659.98,1,384.44
4921,Jeffrey Borsuk,M,Raw,N,Pro Junior 20-23,95.03,C100,240.4,156.49,244.94,641.83,1,399.18
4359,Jenna Beaumont,F,Raw,N,Open,76.8,C84,,82.5,,82.5,1,77.29
1146,Jennifer Carter,F,Raw,N,Open,68,C72,145,72.5,160,377.5,2,383.26
7123,Jennifer Green,F,Raw,N,R-M2a,59.8,C60,100,60,110,270,1,301.8
8270,Jeremy Rollman,M,Raw,N,Master 40-44,125,C125,,177.5,,177.5,1,101.15
5569,Jesse Conner,M,Raw,N,Juniors,83.64,C90,,117.93,192.78,310.71,1,206.46
6684,Jesse Jenkins,M,Raw,N,R-M,115.6,C120,192.5,142.5,200,535,2,310.43
7759,Jessica Fitzgibbons,F,Raw,N,Submaster Women 35-39,59.33,C60,,,145,145,1,163.07
6646,Jim Campbell,M,Raw,N,R-M1,140.9,C120+,,185,,185,1,103.28
5054,Joe Dombrowski,M,Raw,N,Amateur Junior 20-23,89.45,C90,199.58,131.54,242.67,573.79,1,367.45
7717,John Gerber,M,Raw,N,Master 40-44,80.01,C82.5,,160.5,,160.5,1,109.56
4524,John Leung,M,Raw,N,,64.95,C66,115,95,150,360,1,286.46
7732,John McCormick,M,Raw,N,Open Men,73.39,C75,172.5,125,192.5,490,2,354.545
122,John Nowicki,M,Raw,N,M_OR_AAPF,110,C110,,170,,170,1,100.04
7200,Jolene Loetscher,F,Raw,N,R-O,51.2,C52,,47.5,105,152.5,1,192.4
8199,Jon Miller,M,Raw,N,Open,87.8,C90,202.5,130,260,592.5,4,383.16
7302,Jonna Briannon,F,Raw,N,R-O,87.4,C84+,105,45,137.5,287.5,2,251.59
6998,Jordan Ramirez,M,Raw,N,R-O,89.9,C93,182.5,142.5,227.5,552.5,1,352.91
7743,Jose Conty,M,Raw,N,Junior Men 20-23,74.3,C75,137.5,132.5,192.5,462.5,1,331.73
7249,Jose Ramirez,M,Raw,N,R-T3,57.7,C59,125,97.5,167.5,390,1,344.95
6927,Joseph Garrison,M,Raw,N,R-JR,80.5,C83,192.5,125,250,567.5,2,385.92
7593,Joshua Hyman,M,Raw,N,Submaster Men,88.18,C90,150,117.5,200,467.5,1,301.63
7856,Joshua Robinson,M,Raw,N,Master 40-44,98.2,C100,207.5,100,245,552.5,1,338.75
83,Joshua Strohm,M,Raw,N,M_OR_AAPF,109.7,C110,230,172.5,250,652.5,1,384.31
8375,Judy Thomas,F,Raw,N,Master 50-54,73.8,C75,,45,100,145,1,139.26
6672,Justin Migliaccio,M,Raw,N,R-O,91,C100,130,105,162.5,397.5,,252.36
7856,Justin Woo,M,Raw,N,Junior 20-23,89.8,C90,212.5,137.5,225,575,1,367.493
1007,Kameron Hughes,M,Raw,N,Junior,104.6,C105,210,127.5,207.5,545,1,326.11
7247,Kameron Watson,M,Raw,N,R-JR,104.3,C105,222.5,135,235,592.5,6,354.89
3555,Karen Tvedt,F,Raw,N,Master 40-49,85.1,C84+,150,75,160,385,1,341.13
7209,Katie Biddle,F,Raw,N,R-O,75.4,C84,82.5,47.5,120,250,1,236.87
4339,Kavwa Sichone,M,Raw,N,Open,70.5,C74,,152.5,,152.5,2,113.66
3244,Kay Arne Skagseth,M,Raw,N,Open,101.4,C105,182.5,140,200,522.5,6,316.26
4763,Keijo Stenholm,M,Raw,N,,81.7,C83,170,135,180,485,5,326.82
4557,Keiko Nakai,F,Raw,N,O,54.65,C57,87.5,65,127.5,280,3,335.81
1180,Keira Hardwick,F,Raw,N,Junior,46.6,C47,80,32.5,82.5,195,1,263.87
6537,Kelby Sanders,M,Raw,N,R-M1a,87.7,C90,82.5,62.5,137.5,282.5,2,182.8
109,Kelly Peters,M,Raw,N,M-OR,105.69,C110,182.5,160,215,557.5,2,332.38
4748,Kevin Boatwood,M,Raw,N,,114.25,C120,,146.5,,146.5,2,85.27
6575,Kevin Lee,M,Raw,N,R-T3,81.9,C83,157.5,107.5,162.5,427.5,1,287.65
8066,Kevin Soung,M,Raw,N,Open,70.7,C75,177.5,130,195,502.5,1,373.73
3197,Knut Havnen Johansen,M,Raw,N,Open,93.25,C105,175,130,240,545,2,341.93
7015,Kyle Schuster,M,Raw,N,R-JR,110.5,C120,272.5,182.5,250,705,8,414.32
6856,Larrissa Gunn,F,Raw,N,R-O,79.6,C84,117.5,65,160,342.5,3,314.27
1279,Lauri Marttila,M,Raw,N,M-O,96.7,C100,,210,,210,2,129.6
7021,LeeAnn Hewitt,F,Raw,N,R-O,154.5,C84+,255,120,230,605,2,464.73
6979,Lindsey Blystone,F,Raw,N,R-O,83.2,C84,117.5,52.5,137.5,307.5,5,275.54
84,Lindsey Cardinal,F,Raw,N,F_OR_AAPF,79.8,C82.5,172.5,107.5,192.5,472.5,1,432.95
4591,Linh Vu,M,Raw,N,,73.85,C74,162.5,105,212.5,480,3,345.77
7300,Lori Sharon,F,Raw,N,R-O,67,C72,105,70,150,325,1,333.48
7459,Lucas Hisghman,M,Raw,N,M-O,74.8,C75,227.5,150,200,577.5,3,412.27
951,Lynn Lister,F,Raw,N,Open,62.3,C63,,60,,60,1,64.99
17,Lynne Castellanos,F,Raw,N,RLM 55-59,90,C90,,,137.5,137.5,1,118.81
2949,Magnus Eltvik Nygaard,M,Raw,N,Open,74.2,C83,165,130,220,515,1,369.74
6986,Mara Rosenfeld,F,Raw,N,R-JR,61.2,C63,,60,,60,1,65.88
1245,Marcela Sandvik,F,Raw,N,Open,51.23,C52,95,80,127.5,302.5,5,381.47
4684,Marcus Flanagan,M,Raw,N,,82.9,C83,145,112.5,165,422.5,3,282.22
4619,Mark Haureliuk,M,Raw,N,,110.8,C120,,152.5,,152.5,1,89.55
7951,Mark Kimener,M,Raw,N,Open,127.8,C140,265,197.5,327.5,790,1,448.227
8063,Mark Ray,M,Raw,N,Master 55-59,95.1,C100,175,142.5,230,547.5,1,340.4
886,Marshall Sonnenberg,M,Raw,N,Sub-Junior,97,C105,135,115,155.5,405.5,1,249.92
8219,Martin Felipe,M,Raw,N,Open,87.7,C90,170,137.5,227.5,535,5,346.19
