MeetID,Name,Gender,Equipment,Uses Equipment,Division,Bodyweight (Kg),WeightClass (Kg),BestSquat (Kg),BestBench (Kg),BestDeadlift (Kg),Total (Kg),Place,Wilks
8162,Eloy Martinez,M,Wraps,Y,Open,100,C100,250,167.5,245,662.5,1,403.19
4943,George Wilson,M,Wraps,Y,Amateur Master 65-69,102.87,C110,181.44,170.1,226.8,578.33,1,348.15
1336,Greg Crook,M,Wraps,Y,Pro Open,90,C90,251.74,158.76,238.14,648.64,1,414.09
1300,Gus Cooke,M,Wraps,Y,M-OR,111.8,C125,300,200,265,765,3,448.02
6446,Haley Hudson,F,Wraps,Y,FT3R,70,C75,112.5,62.5,127.5,302.5,1,300.94
5597,Hector Benatti,M,Wraps,Y,Open,111.58,C117.5,185.97,142.88,231.33,560.19,2,328.26
5020,Jackson Bucy,M,Wraps,Y,Amateur Teen 16-17,96.98,C100,185.97,149.69,208.65,544.31,1,335.51
5077,James Hull,M,Wraps,Y,Amateur Master 45-49,86.73,C90,138.35,99.79,158.76,396.89,1,258.37
6428,Jessica Lilliebridge,F,Wraps,Y,FOR,58.6,C60,105,45,120,270,3,306.6
6474,John Bebes,M,Wraps,Y,AD Master 3,86.91,C90,137.5,77.5,182.5,397.5,2,258.47
5069,Jonathen Booher,M,Wraps,Y,Amateur Open,79.11,C82.5,154.22,108.86,215.46,478.54,1,329.03
7730,Josh Combs,M,Wraps,Y,Junior Men 20-23,123.38,C125,365,192.5,320,877.5,1,501.395
1385,Julia Shifko,F,Wraps,Y,Amateur Teen (14-15),76.43,C82.5,68.04,38.56,77.11,183.7,1,172.61
5647,Justin Wilcoxon,M,Wraps,Y,Open,163.84,C140+,362.87,226.8,306.17,895.84,1,489.37
5524,Katerine Whitfield,F,Wraps,Y,Juniors,78.83,C82.5,90.72,45.36,108.86,244.94,1,225.99
6447,Kevin Freeman,M,Wraps,Y,MOR,116.4,C125,202.5,160,247.5,610,2,353.32
5434,Kirsten Kinneberg,F,Wraps,Y,Open,60,C60,102.06,68.04,117.93,288.03,1,321.12
5507,Lee Morris,M,Wraps,Y,Masters 45-49,89.09,C90,226.8,181.44,249.48,657.71,1,422.08
1574,Louie Etuale,M,Wraps,Y,jr-sr,129.55,C140,272.5,175,272.5,720,1,407.48
121,Luis Gonzalez,M,Wraps,Y,M_OCR_APF,91.7,C100,125,80,137.5,342.5,4,216.62
5471,Mark Kolc,M,Wraps,Y,Light,87.32,C100,192.5,160,257.5,610,2,395.64
5269,Marlan Woods,M,Wraps,Y,Open,81.37,C82.5,226.8,124.74,238.14,589.67,1,398.34
5513,Matt Oliver,M,Wraps,Y,Open,81.01,C82.5,222.26,151.95,226.8,601.01,1,407.11
5626,Matthew Scherbik,M,Wraps,Y,Open,100,C100,276.69,179.17,283.5,739.36,2,449.97
132,Matvey Kovalev,M,Wraps,Y,Juniors,72,C75,190,105,190,485,1,355.85
5601,Max Aita,M,Wraps,Y,M-M-R,109.32,C,320,140,290,749.99,3,442.21
5009,Michael David Secora,M,Wraps,Y,Amateur Open,88.36,C90,183.7,104.33,201.85,489.88,11,315.73
4945,Michael Lackey,M,Wraps,Y,Amateur Junior 20-23,97.43,C100,235.87,183.7,258.55,678.12,1,417.16
5170,Mike Bianchi,M,Wraps,Y,Pro Open,107.41,C110,319.78,240.4,272.16,832.34,2,493.55
5056,Mindy Underwood,F,Wraps,Y,Pro OPEN,99.79,C90+,200.03,137.48,210.01,547.53,1,456.15
1303,Nancy Amarat,F,Wraps,Y,F-OR,59,C60,130,77.5,165,372.5,5,420.75
8250,Nicholas Haglan,M,Wraps,Y,Junior 20-23,75.9,C82.5,137.5,92.5,135,365,1,257.95
120,Nicholas Rosello,M,Wraps,Y,M_TCR_3_APF,81.35,C82.5,220,122.5,205,547.5,1,369.91
5229,Nick Poli,M,Wraps,Y,Amateur Open,99.34,C100,244.94,163.29,267.62,675.85,1,412.41
5292,Nicole Cassel,F,Wraps,Y,O,90,C90,117.5,100,140,357.5,1,308.9
1403,Patrick Simpson,M,Wraps,Y,Pro Open,89.54,C90,249.48,163.29,274.42,687.19,1,439.85
6453,Paul Sorenson,M,Wraps,Y,MJR,117.6,C125,215,120,255,590,4,340.85
4975,Paulo Sevick,M,Wraps,Y,Amateur Teen 14-15,93.44,C100,199.58,136.08,219.99,555.65,1,348.28
1575,Randy Boyer,M,Wraps,Y,sm1,136.62,C140,260,152.5,250,662.5,2,371.6
1318,Rebecca Hickman,F,Wraps,Y,F-O,56,C56,107.5,47.5,125,280,3,329.45
5044,Robert Rivera Jr,M,Wraps,Y,,130.54,C140,362.87,215.46,335.66,913.99,2,516.56
5217,Rocco Carlino,M,Wraps,Y,Pro open,105.69,C110,272.16,185.97,274.42,732.55,3,436.74
7865,Romohree Howard,M,Wraps,Y,Open,88.4,C90,235,155,275,665,1,428.494
6456,Ryan Coleman,M,Wraps,Y,M-AD-R-SM,120.38,C125,240,170,260,670,1,384.92
5694,Samantha Torres,F,Wraps,Y,F-L-R,57.79,C67.5,63.5,31.75,79.38,174.63,11,200.47
1584,Sarah Stull,F,Wraps,Y,jr,87,C90,137.5,65,125,327.5,1,287.19
5296,Sean Machado,M,Wraps,Y,Juniors,89.81,C90,215,152.5,202.5,570,1,364.28
133,Sergey Mironov,M,Wraps,Y,Open,89.1,C90,255,160,270,685,2,439.56
7982,Shannon Kehoe,F,Wraps,Y,Open,55.8,C56,102.5,77.5,142.5,322.5,1,380.521
